#lRMS=0.0001856670424 iRMS=2.672614937e-05 0
#    lk   ukf_o9v   uks_o9v        fh       fse        fd         fl
#
 4360.0  2.590703  0.000000  2.590703  0.000000  0.000000  0.000000
 4365.0  2.562072  0.000000  2.562072  0.000000  0.000000  0.000000
 4370.0  2.551378  0.000000  2.551378  0.000000  0.000000  0.000000
 4375.0  2.538481  0.000000  2.538481  0.000000  0.000000  0.000000
 4380.0  2.509840  0.000000  2.509840  0.000000  0.000000  0.000000
 4385.0  2.443811  0.000000  2.443811  0.000000  0.000000  0.000000
 4390.0  2.426435  0.000000  2.426435  0.000000  0.000000  0.000000
 4395.0  2.472776  0.000000  2.472776  0.000000  0.000000  0.000000
 4400.0  2.474341  0.000000  2.474341  0.000000  0.000000  0.000000
 4405.0  2.453790  0.000000  2.453790  0.000000  0.000000  0.000000
 4410.0  2.418223  0.000000  2.418223  0.000000  0.000000  0.000000
 4415.0  2.386108  0.000000  2.386108  0.000000  0.000000  0.000000
 4420.0  2.343643  0.000000  2.343643  0.000000  0.000000  0.000000
 4425.0  2.286526  0.000000  2.286526  0.000000  0.000000  0.000000
 4430.0  2.262300  0.000000  2.262300  0.000000  0.000000  0.000000
 4435.0  2.284734  0.000000  2.284734  0.000000  0.000000  0.000000
 4440.0  2.316667  0.000000  2.316667  0.000000  0.000000  0.000000
 4445.0  2.346486  0.000000  2.346486  0.000000  0.000000  0.000000
 4450.0  2.356567  0.000000  2.356567  0.000000  0.000000  0.000000
 4455.0  2.351800  0.000000  2.351800  0.000000  0.000000  0.000000
 4460.0  2.342912  0.000000  2.342912  0.000000  0.000000  0.000000
 4465.0  2.288798  0.000000  2.288798  0.000000  0.000000  0.000000
 4470.0  2.147690  0.000000  2.147690  0.000000  0.000000  0.000000
 4475.0  2.197188  0.000000  2.197188  0.000000  0.000000  0.000000
 4480.0  2.276385  0.000000  2.276385  0.000000  0.000000  0.000000
 4485.0  2.297863  0.000000  2.297863  0.000000  0.000000  0.000000
