#lRMS=0.003538307967 iRMS=0.0001371480321 0
#    lk   ukf_g8v   uks_g8v        fh       fse        fl         fd
#
 3665.0  0.543996  0.031725  0.543996  0.000000  0.000000  0.000000
 3670.0  0.520309  0.037562  0.520309  0.000000  0.000000  0.000000
 3675.0  0.511592  0.019881  0.511592  0.000000  0.000000  0.000000
 3680.0  0.481296  0.030219  0.481296  0.000000  0.000000  0.000000
 3685.0  0.467007  0.039638  0.467007  0.000000  0.000000  0.000000
 3690.0  0.484216  0.041997  0.484216  0.000000  0.000000  0.000000
 3695.0  0.524662  0.028049  0.524662  0.000000  0.000000  0.000000
 3700.0  0.530734  0.010051  0.530734  0.000000  0.000000  0.000000
 3705.0  0.470981  0.034034  0.470981  0.000000  0.000000  0.000000
 3710.0  0.451715  0.035226  0.451715  0.000000  0.000000  0.000000
 3715.0  0.454602  0.045592  0.454602  0.000000  0.000000  0.000000
 3720.0  0.383324  0.036447  0.383324  0.000000  0.000000  0.000000
 3725.0  0.373469  0.027129  0.373469  0.000000  0.000000  0.000000
 3730.0  0.355260  0.018509  0.355260  0.000000  0.000000  0.000000
 3735.0  0.311025  0.043040  0.311025  0.000000  0.000000  0.000000
 3740.0  0.321840  0.023959  0.321840  0.000000  0.000000  0.000000
 3745.0  0.315489  0.034333  0.315489  0.000000  0.000000  0.000000
 3750.0  0.338061  0.039551  0.338061  0.000000  0.000000  0.000000
 3755.0  0.407460  0.009434  0.407460  0.000000  0.000000  0.000000
 3760.0  0.408760  0.052042  0.408760  0.000000  0.000000  0.000000
 3765.0  0.437053  0.065378  0.437053  0.000000  0.000000  0.000000
 3770.0  0.501590  0.042278  0.501590  0.000000  0.000000  0.000000
 3775.0  0.550264  0.032838  0.550264  0.000000  0.000000  0.000000
 3780.0  0.560704  0.037286  0.560704  0.000000  0.000000  0.000000
 3785.0  0.515906  0.034701  0.515906  0.000000  0.000000  0.000000
 3790.0  0.448387  0.050338  0.448387  0.000000  0.000000  0.000000
 3795.0  0.424556  0.050421  0.424556  0.000000  0.000000  0.000000
 3800.0  0.440660  0.040314  0.440660  0.000000  0.000000  0.000000
 3805.0  0.462754  0.042595  0.462754  0.000000  0.000000  0.000000
 3810.0  0.427498  0.047239  0.427498  0.000000  0.000000  0.000000
 3815.0  0.346249  0.041340  0.346249  0.000000  0.000000  0.000000
 3820.0  0.275785  0.023714  0.275785  0.000000  0.000000  0.000000
 3825.0  0.237951  0.020143  0.237951  0.000000  0.000000  0.000000
 3830.0  0.235045  0.015940  0.235045  0.000000  0.000000  0.000000
 3835.0  0.250145  0.018867  0.250145  0.000000  0.000000  0.000000
 3840.0  0.291822  0.027324  0.291822  0.000000  0.000000  0.000000
 3845.0  0.363367  0.036536  0.363367  0.000000  0.000000  0.000000
 3850.0  0.384123  0.043720  0.384123  0.000000  0.000000  0.000000
 3855.0  0.348669  0.040496  0.348669  0.000000  0.000000  0.000000
 3860.0  0.327098  0.038147  0.327098  0.000000  0.000000  0.000000
 3865.0  0.353958  0.040619  0.353958  0.000000  0.000000  0.000000
 3870.0  0.362868  0.051339  0.362868  0.000000  0.000000  0.000000
 3875.0  0.376386  0.051115  0.376386  0.000000  0.000000  0.000000
 3880.0  0.379245  0.052933  0.379245  0.000000  0.000000  0.000000
