#iRMS=3.888022911e-05 0
#    lk   ukf_a7v   uks_a7v        fh        fse
#
 3875.0  1.423069  0.082973  1.423069  0.000000
 3880.0  1.194373  0.075486  1.194373  0.000000
 3885.0  0.926967  0.013412  0.926967  0.000000
 3890.0  0.862509  0.002805  0.862509  0.000000
 3895.0  1.076116  0.077216  1.076116  0.000000
 3900.0  1.309249  0.086108  1.309249  0.000000
 3905.0  1.501400  0.073429  1.501400  0.000000
 3910.0  1.651564  0.090776  1.651564  0.000000
 3915.0  1.692025  0.078415  1.692025  0.000000
 3920.0  1.692722  0.096342  1.692722  0.000000
 3925.0  1.580245  0.111796  1.580245  0.000000
 3930.0  1.259881  0.016024  1.259881  0.000000
 3935.0  1.223503  0.023106  1.223503  0.000000
 3940.0  1.515599  0.112856  1.515599  0.000000
 3945.0  1.607089  0.101171  1.607089  0.000000
 3950.0  1.554520  0.081112  1.554520  0.000000
 3955.0  1.428986  0.079605  1.428986  0.000000
 3960.0  1.204426  0.065661  1.204426  0.000000
 3965.0  0.896606  0.004126  0.896606  0.000000
 3970.0  0.785735  0.037708  0.785735  0.000000
 3975.0  1.038812  0.053253  1.038812  0.000000
 3980.0  1.310580  0.079344  1.310580  0.000000
 3985.0  1.500104  0.078723  1.500104  0.000000
 3990.0  1.644965  0.098284  1.644965  0.000000
 3995.0  1.718796  0.089316  1.718796  0.000000
 4000.0  1.763716  0.077568  1.763716  0.000000
 4005.0  1.807291  0.087111  1.807291  0.000000
 4010.0  1.845352  0.107790  1.845352  0.000000
 4015.0  1.871881  0.114614  1.871881  0.000000
 4020.0  1.880991  0.105978  1.880991  0.000000
 4025.0  1.862087  0.083596  1.862087  0.000000
 4030.0  1.842823  0.056402  1.842823  0.000000
 4035.0  1.873542  0.068770  1.873542  0.000000
 4040.0  1.887295  0.087091  1.887295  0.000000
 4045.0  1.856774  0.078400  1.856774  0.000000
 4050.0  1.848270  0.083963  1.848270  0.000000
 4055.0  1.813592  0.065056  1.813592  0.000000
 4060.0  1.784304  0.070469  1.784304  0.000000
 4065.0  1.741890  0.077632  1.741890  0.000000
 4070.0  1.691697  0.080356  1.691697  0.000000
 4075.0  1.622116  0.070345  1.622116  0.000000
 4080.0  1.557920  0.075014  1.557920  0.000000
 4085.0  1.469275  0.080989  1.469275  0.000000
 4090.0  1.313342  0.087214  1.313342  0.000000
 4095.0  1.072128  0.065910  1.072128  0.000000
 4100.0  0.859904  0.007756  0.859904  0.000000
 4105.0  0.951502  0.015428  0.951502  0.000000
 4110.0  1.209810  0.071400  1.209810  0.000000
 4115.0  1.415073  0.086428  1.415073  0.000000
 4120.0  1.533329  0.079304  1.533329  0.000000
 4125.0  1.595592  0.065604  1.595592  0.000000
 4130.0  1.637041  0.052063  1.637041  0.000000
 4135.0  1.712687  0.068992  1.712687  0.000000
 4140.0  1.768770  0.078406  1.768770  0.000000
 4145.0  1.774064  0.072346  1.774064  0.000000
 4150.0  1.775611  0.084127  1.775611  0.000000
 4155.0  1.752822  0.073801  1.752822  0.000000
 4160.0  1.757465  0.077133  1.757465  0.000000
 4165.0  1.774790  0.090004  1.774790  0.000000
 4170.0  1.735154  0.066388  1.735154  0.000000
 4175.0  1.699624  0.056728  1.699624  0.000000
 4180.0  1.709781  0.072754  1.709781  0.000000
 4185.0  1.734030  0.078857  1.734030  0.000000
 4190.0  1.770255  0.091339  1.770255  0.000000
 4195.0  1.766266  0.081441  1.766266  0.000000
 4200.0  1.732780  0.055733  1.732780  0.000000
 4205.0  1.747830  0.072642  1.747830  0.000000
 4210.0  1.773421  0.088211  1.773421  0.000000
 4215.0  1.759669  0.068709  1.759669  0.000000
 4220.0  1.736847  0.063316  1.736847  0.000000
 4225.0  1.696185  0.053075  1.696185  0.000000
 4230.0  1.704235  0.073390  1.704235  0.000000
 4235.0  1.710073  0.070345  1.710073  0.000000
 4240.0  1.721301  0.079563  1.721301  0.000000
 4245.0  1.706227  0.081269  1.706227  0.000000
 4250.0  1.685867  0.068214  1.685867  0.000000
 4255.0  1.702778  0.068747  1.702778  0.000000
 4260.0  1.703642  0.051881  1.703642  0.000000
 4265.0  1.718594  0.072263  1.718594  0.000000
 4270.0  1.689321  0.071782  1.689321  0.000000
 4275.0  1.668256  0.069689  1.668256  0.000000
 4280.0  1.678685  0.087004  1.678685  0.000000
 4285.0  1.645452  0.080769  1.645452  0.000000
 4290.0  1.601279  0.074972  1.601279  0.000000
 4295.0  1.576575  0.080161  1.576575  0.000000
 4300.0  1.529251  0.049055  1.529251  0.000000
 4305.0  1.512436  0.043870  1.512436  0.000000
 4310.0  1.497652  0.055780  1.497652  0.000000
 4315.0  1.462875  0.064242  1.462875  0.000000
 4320.0  1.412809  0.074542  1.412809  0.000000
 4325.0  1.318162  0.071602  1.318162  0.000000
 4330.0  1.179362  0.070743  1.179362  0.000000
 4335.0  0.971247  0.039205  0.971247  0.000000
 4340.0  0.812495  0.016579  0.812495  0.000000
 4345.0  0.920203  0.016499  0.920203  0.000000
 4350.0  1.127314  0.040533  1.127314  0.000000
 4355.0  1.316098  0.053599  1.316098  0.000000
 4360.0  1.449854  0.051983  1.449854  0.000000
 4365.0  1.532989  0.055257  1.532989  0.000000
 4370.0  1.561745  0.053194  1.561745  0.000000
 4375.0  1.579995  0.056592  1.579995  0.000000
 4380.0  1.598788  0.068375  1.598788  0.000000
 4385.0  1.583916  0.050713  1.583916  0.000000
 4390.0  1.609281  0.070672  1.609281  0.000000
 4395.0  1.612218  0.066483  1.612218  0.000000
 4400.0  1.611134  0.056127  1.611134  0.000000
 4405.0  1.623727  0.058118  1.623727  0.000000
 4410.0  1.628853  0.070548  1.628853  0.000000
 4415.0  1.599175  0.058374  1.599175  0.000000
 4420.0  1.612244  0.075143  1.612244  0.000000
 4425.0  1.635966  0.085834  1.635966  0.000000
 4430.0  1.631807  0.064990  1.631807  0.000000
 4435.0  1.631678  0.065111  1.631678  0.000000
 4440.0  1.623012  0.071621  1.623012  0.000000
 4445.0  1.603984  0.055028  1.603984  0.000000
 4450.0  1.619808  0.061735  1.619808  0.000000
 4455.0  1.601959  0.042814  1.601959  0.000000
 4460.0  1.596923  0.049505  1.596923  0.000000
 4465.0  1.585827  0.045744  1.585827  0.000000
 4470.0  1.584724  0.037716  1.584724  0.000000
 4475.0  1.593671  0.051693  1.593671  0.000000
 4480.0  1.557505  0.031932  1.557505  0.000000
 4485.0  1.575861  0.051302  1.575861  0.000000
 4490.0  1.588042  0.051419  1.588042  0.000000
 4495.0  1.596718  0.050882  1.596718  0.000000
 4500.0  1.604331  0.073377  1.604331  0.000000
 4505.0  1.617584  0.075555  1.617584  0.000000
 4510.0  1.615056  0.065921  1.615056  0.000000
 4515.0  1.585675  0.055023  1.585675  0.000000
 4520.0  1.571505  0.051030  1.571505  0.000000
 4525.0  1.547778  0.050140  1.547778  0.000000
 4530.0  1.522447  0.028700  1.522447  0.000000
 4535.0  1.546477  0.041061  1.546477  0.000000
 4540.0  1.566148  0.054409  1.566148  0.000000
 4545.0  1.540911  0.047340  1.540911  0.000000
 4550.0  1.496238  0.040355  1.496238  0.000000
 4555.0  1.502651  0.061302  1.502651  0.000000
 4560.0  1.532164  0.078062  1.532164  0.000000
 4565.0  1.555706  0.065980  1.555706  0.000000
 4570.0  1.544548  0.053870  1.544548  0.000000
 4575.0  1.533931  0.046050  1.533931  0.000000
 4580.0  1.502930  0.045175  1.502930  0.000000
 4585.0  1.489908  0.042804  1.489908  0.000000
 4590.0  1.502483  0.049540  1.502483  0.000000
 4595.0  1.524136  0.048264  1.524136  0.000000
 4600.0  1.530076  0.050214  1.530076  0.000000
 4605.0  1.530016  0.042954  1.530016  0.000000
 4610.0  1.529079  0.051787  1.529079  0.000000
 4615.0  1.522942  0.041487  1.522942  0.000000
 4620.0  1.516678  0.057926  1.516678  0.000000
 4625.0  1.507823  0.054253  1.507823  0.000000
 4630.0  1.483049  0.044241  1.483049  0.000000
 4635.0  1.486585  0.048276  1.486585  0.000000
 4640.0  1.510054  0.048279  1.510054  0.000000
 4645.0  1.496063  0.051790  1.496063  0.000000
 4650.0  1.497955  0.046966  1.497955  0.000000
 4655.0  1.495827  0.055280  1.495827  0.000000
 4660.0  1.487062  0.059007  1.487062  0.000000
 4665.0  1.466691  0.045405  1.466691  0.000000
 4670.0  1.458872  0.054522  1.458872  0.000000
 4675.0  1.479048  0.054174  1.479048  0.000000
 4680.0  1.479799  0.066976  1.479799  0.000000
 4685.0  1.489488  0.076578  1.489488  0.000000
 4690.0  1.484332  0.061127  1.484332  0.000000
 4695.0  1.467816  0.055656  1.467816  0.000000
 4700.0  1.441945  0.052688  1.441945  0.000000
 4705.0  1.442358  0.060874  1.442358  0.000000
 4710.0  1.438841  0.058901  1.438841  0.000000
 4715.0  1.440817  0.050384  1.440817  0.000000
 4720.0  1.447330  0.047318  1.447330  0.000000
 4725.0  1.438328  0.051296  1.438328  0.000000
